バーコード値,部品№,図番№,納入数,保管場所
0000302144,#500,XAL607-0519A,1,棚
0000302020,#400,XAL607-0426,1,棚
0000302323,#300,XAL607-0313B,2,棚
0000302019,#400,XAL607-0425(K-1),1,棚
0000301987,#200,XAL607-0230A,1,棚
0000301986,#200,XAL607-0227A,1,棚
0000301985,#200,XAL607-0226A,1,棚
0000301984,#200,XAL607-0219A,4,棚
0000302042,#100,XAL607-0112A,14,棚
0000301992,#500,XAL607-0514C,1,棚
0000301993,#500,XAL607-0518C,1,棚
0000301988,#400,XAL607-0417A,1,棚
0000302033,#100,XAL607-0116A,2,棚
0000302324,#400,XAL607-0416B,1,棚
0000302035,#100,XAL607-0118A,6,棚
0000302034,#100,XAL607-0117B,2,棚
0000302032,#100,XAL607-0115A,2,棚
0000302031,#100,XAL607-0114A,2,棚
0000301961,#100,XAL607-0129E,1,棚（箱）
0000301962,#100,XAL607-0130D,1,棚（箱）
0000301963,#100,XAL607-0131D,1,棚（箱）
0000302352,#100,XAL607-0125D,1,棚（箱）
0000302351,#100,XAL607-0124F,1,棚（箱）
0000302353,#100,XAL607-0126D,1,棚（箱）
0000301964,#200,XAL607-0210C,1,棚（箱）
0000301965,#200,XAL607-0211D,1,棚（箱）
0000302138,#600,XAL607-0614,1,棚（箱）
0000301957,#400,XAL607-0424,0,棚（箱）
0000302137,#600,XAL607-0613,1,棚（箱）
0000302051,#500,XAL607-0511,2,棚（箱）
0000302045,#400,XAL607-0411,2,棚（箱）
0000302046,#400,XAL607-0412,2,棚（箱）
0000302052,#500,XAL607-0512,2,棚（箱）
0000301958,#500,XAL607-0521,0,棚（箱）
0000302177,#900,XAL607-0924B,1,カバー台車
0000302178,#900,XAL607-0925,1,カバー台車
0000302176,#900,XAL607-0918A,1,カバー台車
0000302175,#900,XAL607-0916,1,カバー台車
0000302179,#900,XAL607-0927,1,カバー台車
0000302174,#900,XAL607-0915B,1,カバー台車
0000302173,#900,XAL607-0914,1,カバー台車
0000302172,#900,XAL607-0912,1,カバー台車
0000302170,#600,XAL607-0643,1,カバー台車
0000302171,#900,XAL607-0911A,2,カバー台車
0000302168,#600,XAL607-0633A,1,カバー台車
0000302169,#600,XAL607-0642,1,カバー台車
0000302132,#600,XAL607-0617,2,カブト2F
0000302130,#500,XAL607-0520D,1,カブト2F
0000302134,#600,XAL607-0632B,1,カブト2F
0000302135,#600,XAL607-0639A,3,カブト2F
0000302184,#600,XAL607-0629A,1,カブト2F
0000302183,#500,XAL607-0529,1,カブト2F
0000302181,#400,XAL607-0435,1,カブト2F
0000302182,#500,XAL607-0528,1,カブト2F
0000302180,#400,XAL607-0434,1,カブト2F
0000301978,#800,XAL607-0810E,1,第5工場
0000301977,#500,XAL607-0510E,1,梅倉庫
0000301975,#400,XAL607-0410F,1,梅倉庫
0000301974,#300,XAL607-0310B,1,梅倉庫
0000301973,#100,XAL607-0113G,2,梅倉庫
0000301972,#100,XAL607-0110A,1,梅倉庫
0000301976,#400,XAL607-0418,4,梅倉庫
0000302017,#1000,XAL607-1010A,1,カブト2F
0000302018,#1000,XAL607-1011A,1,カブト2F
0000302008,#800,XAL607-0812,4,カブト2F
0000302007,#200,XAL607-0231A,2,カブト2F
0000302009,#800,XAL607-0813,1,カブト2F
0000302010,#800,XAL607-0814,1,カブト2F
0000302014,#800,XAL607-0824,1,カブト2F
0000302015,#900,XAL607-0910C,1,カブト2F
0000302016,#900,XAL607-0919,1,カブト2F
0000302011,#800,XAL607-0821,2,カブト2F
0000302194,#500,XAL607-0415,0,コンテナ
