発注伝票№,製番,製品№,ﾕﾆｯﾄ№,部品№,品番,図番,改訂,品名,形式寸法,発注日,納期,回答納期,確定納期,納入完了日,検収完了日,手配,仕入先,発注数,納入数,発注残数,検収累計数,未検収数,納入場所,備考,品番分類
301976,3804-00,3804-00,B,#400,,XAL607-0418,,ｶﾞｲﾄﾞﾎﾟｽﾄ,加工品　,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/12 0:00,,外注加工,双葉電子工業㈱,4,4,0,0,4,,,部品
301977,3804-00,3804-00,B,#500,,XAL607-0510E,,MGﾍｯﾄﾞ天板,加工品　ﾒｯｷ込み,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/12 0:00,,外注加工,双葉電子工業㈱,1,1,0,0,1,,,部品
301978,3804-00,3804-00,B,#800,,XAL607-0810E,,ﾍﾞｰｽﾌﾚｰﾑ,"XAL607-0810-1E,-0810-2E",2025/3/17 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/19 0:00,,外注加工,㈱吉田機工,1,1,0,0,1,,,部品
301979,3804-00,3804-00,B,#100,,XAL607-0127A,,ﾛｹｰﾀ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/8 0:00,,外注加工,田中精機㈲,2,2,0,0,2,,,部品
301980,3804-00,3804-00,B,#100,,XAL607-0139,,ｽﾍﾟｰｻ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/9 0:00,,外注加工,田中精機㈲,4,4,0,0,4,,,部品
301981,3804-00,3804-00,B,#100,,XAL607-0140,,ｽﾃｰ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/9 0:00,,外注加工,田中精機㈲,4,4,0,0,4,,,部品
301982,3804-00,3804-00,B,#200,,XAL607-0217,,ﾓｰﾀｰBKT,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/30 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301983,3804-00,3804-00,B,#200,,XAL607-0218A,,ﾃﾝｼｮﾝBKT,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/7 0:00,2025/4/7 0:00,外注加工,田中精機㈲,1,1,0,1,0,,,部品
301984,3804-00,3804-00,B,#200,,XAL607-0219A,,ﾍﾞﾙﾄｽﾃｰ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/8 0:00,,外注加工,田中精機㈲,4,4,0,0,4,,,部品
301985,3804-00,3804-00,B,#200,,XAL607-0226A,,たわみ防止ｽﾃｰ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/1 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301986,3804-00,3804-00,B,#200,,XAL607-0227A,,たわみ防止ｽﾃｰ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/13 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301987,3804-00,3804-00,B,#200,,XAL607-0230A,,ｹﾞｰﾄ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/13 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301988,3804-00,3804-00,B,#400,,XAL607-0417A,,ｶﾞｲﾄﾞﾌﾟﾚｰﾄ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/19 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301989,3804-00,3804-00,B,#400,,XAL607-0433,,ﾃﾝｼｮﾝ調整板,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/13 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301990,3804-00,3804-00,B,#400,,XAL607-0441,,取付軸,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/1 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301991,3804-00,3804-00,B,#500,,XAL607-0433,,ﾃﾝｼｮﾝ調整板,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/13 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301992,3804-00,3804-00,B,#500,,XAL607-0514C,,ｶﾞｲﾄﾞﾌﾟﾚｰﾄ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/19 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301993,3804-00,3804-00,B,#500,,XAL607-0518C,,ﾍｯﾄﾞ板,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/19 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301994,3804-00,3804-00,B,#500,,XAL607-0530,,ﾌﾞﾗｹｯﾄ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/9 0:00,2025/4/9 0:00,外注加工,田中精機㈲,2,2,0,2,0,,,部品
301995,3804-00,3804-00,B,#500,,XAL607-0541,,ｾﾝｻｰ板2,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/3 0:00,2025/4/3 0:00,外注加工,田中精機㈲,2,2,0,2,0,,,部品
301996,3804-00,3804-00,B,#600,,XAL607-0618A,,旋回軸受1,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/30 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301997,3804-00,3804-00,B,#600,,XAL607-0619A,,旋回軸受2,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/30 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
301998,3804-00,3804-00,B,#600,,XAL607-0620,,旋回軸受3,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/7 0:00,2025/4/7 0:00,外注加工,田中精機㈲,1,1,0,1,0,,,部品
301999,3804-00,3804-00,B,#600,,XAL607-0621A,,旋回軸受4,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/3 0:00,2025/4/3 0:00,外注加工,田中精機㈲,1,1,0,1,0,,,部品
302000,3804-00,3804-00,B,#600,,XAL607-0622A,,ﾁｬｯｸﾎﾙﾀﾞ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/9 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
302001,3804-00,3804-00,B,#600,,XAL607-0641,,ﾁｬｯｸﾊﾞｰ,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/8 0:00,,外注加工,田中精機㈲,2,2,0,0,2,,,部品
302002,3804-00,3804-00,B,#700,,XAL607-0725(K-1),,ﾛｰﾗｰBKT R1,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/8 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
