発注伝票№,製番,製品№,ﾕﾆｯﾄ№,部品№,品番,図番,改訂,品名,形式寸法,発注日,納期,回答納期,確定納期,納入完了日,検収完了日,手配,仕入先,発注数,納入数,発注残数,検収累計数,未検収数,納入場所,備考,品番分類
302081,3804-00,3804-00,B,#500,,XAL607-0534,,補強ﾘﾌﾞ2,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,㈲山喜工業,2,2,0,0,2,,,部品
302082,3804-00,3804-00,B,#100,,XAL607-0119,,ｾﾝｻ板,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈱FK,2,2,0,0,2,,,部品
302083,3804-00,3804-00,B,#100,,XAL607-0120B,,側面ｵｻｴ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈱FK,4,4,0,0,4,,,部品
302084,3804-00,3804-00,B,#100,,XAL607-0121,,ｽﾄｯﾊﾟｱｰﾑ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈱FK,2,2,0,0,2,,,部品
302085,3804-00,3804-00,B,#100,,XAL607-0122,,ｽﾄｯﾊﾟｱｰﾑ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈱FK,2,2,0,0,2,,,部品
302086,3804-00,3804-00,B,#100,,XAL607-0123A,,ｱﾌﾞｿｰﾊﾞ受,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈱FK,2,2,0,0,2,,,部品
302087,3804-00,3804-00,B,#300,,XAL607-0315A,,ｸﾗﾝﾊﾟ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈱FK,4,4,0,0,4,,,部品
302088,3804-00,3804-00,B,#600,,XAL607-0623,,ﾁｬｯｸBKT,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈱FK,6,6,0,0,6,,,部品
302089,3804-00,3804-00,B,#600,,XAL607-0637,,調整ﾌﾞﾛｯｸ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈱FK,4,4,0,0,4,,,部品
302090,3804-00,3804-00,B,#700,,XAL607-0637,,調整ﾌﾞﾛｯｸ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈱FK,4,4,0,0,4,,,部品
302091,3804-00,3804-00,B,#700,,XAL607-0724A,,移動端金具,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈱FK,2,2,0,0,2,,,部品
302092,3804-00,3804-00,B,#800,,XAL607-0815,,ﾛｹｰﾀ1,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈱FK,2,2,0,0,2,,,部品
302093,3804-00,3804-00,B,#800,,XAL607-0816,,ﾛｹｰﾀ2,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈱FK,2,2,0,0,2,,,部品
302094,3804-00,3804-00,B,#400,,XAL607-0413,,ｽﾍﾟｰｻ,,2025/3/17 0:00,2025/5/7 0:00,2025/5/7 0:00,2025/5/7 0:00,2025/5/7 0:00,,外注加工,ｴｽ･ｸﾗﾌﾄ,4,4,0,0,4,,,部品
302095,3804-00,3804-00,B,#500,,XAL607-0513,,ｽﾍﾟｰｻ,,2025/3/17 0:00,2025/5/7 0:00,2025/5/7 0:00,2025/5/7 0:00,2025/5/7 0:00,,外注加工,ｴｽ･ｸﾗﾌﾄ,4,4,0,0,4,,,部品
302096,3804-00,3804-00,B,#700,,XAL607-0716,,ﾘﾆｱﾌﾞﾗｹｯﾄ,,2025/3/17 0:00,2025/5/7 0:00,2025/5/7 0:00,2025/5/7 0:00,2025/5/7 0:00,,外注加工,ｴｽ･ｸﾗﾌﾄ,2,2,0,0,2,,,部品
302106,3804-00,3804-00,B,#600,,XAL607-0540,,ｾﾝｻｱﾝﾌﾟｽﾃｰ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈲片山工業所,1,1,0,0,1,,,部品
302107,3804-00,3804-00,B,#1000,,XAL607-1012A,,空圧機器ﾊﾟﾈﾙ3,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,㈲片山工業所,1,1,0,0,1,,,部品
302108,3804-00,3804-00,B,#200,,XAL607-0221A,,ｽﾄｯﾊﾟ,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,宮本鉄工㈲,1,1,0,0,1,,,部品
302110,3804-00,3804-00,B,#200,,XAL607-0223,,固定端金具,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,宮本鉄工㈲,1,1,0,0,1,,,部品
302111,3804-00,3804-00,B,#200,,XAL607-0224,,移動端金具,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,宮本鉄工㈲,1,1,0,0,1,,,部品
302112,3804-00,3804-00,B,#400,,XAL607-0423,,固定端金具,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,宮本鉄工㈲,1,1,0,0,1,,,部品
302113,3804-00,3804-00,B,#400,,XAL607-0438A,,固定端金具,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,宮本鉄工㈲,1,1,0,0,1,,,部品
302114,3804-00,3804-00,B,#400,,XAL607-0439A,,移動端金具,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,宮本鉄工㈲,1,1,0,0,1,,,部品
302115,3804-00,3804-00,B,#500,,XAL607-0517,,固定端金具,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,宮本鉄工㈲,1,1,0,0,1,,,部品
302116,3804-00,3804-00,B,#600,,XAL607-0628,,ｾﾝｻ台,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,宮本鉄工㈲,1,1,0,0,1,,,部品
302117,3804-00,3804-00,B,#600,,XAL607-0640,,ｾﾝｻBKT,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,宮本鉄工㈲,2,2,0,0,2,,,部品
302118,3804-00,3804-00,B,#700,,XAL607-0731,,ﾌｰﾄBKT,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,宮本鉄工㈲,2,2,0,0,2,,,部品
302119,3804-00,3804-00,B,#900,,XAL607-0917,,非常停止ｽﾃｰ,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/13 0:00,,外注加工,宮本鉄工㈲,1,1,0,0,1,,,部品
302120,3804-00,3804-00,B,#100,,XAL607-0133,,ｽﾄｯﾊﾟ,,2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/2 0:00,,外注加工,中山電材㈱,2,2,0,0,2,,,部品
302121,3804-00,3804-00,B,#600,,XAL607-0636,,ｶﾞｲﾄﾞ,,2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/2 0:00,,外注加工,中山電材㈱,3,3,0,0,3,,,部品
302122,3804-00,3804-00,B,#900,,XAL607-0920B,,指詰め防止ｶﾊﾞｰ1,,2025/3/17 0:00,2025/5/19 0:00,,2025/5/19 0:00,2025/5/14 0:00,,外注加工,福研工販㈱,2,2,0,0,2,,,部品
302123,3804-00,3804-00,B,#900,,XAL607-0921B,,指詰め防止ｶﾊﾞｰ2,,2025/3/17 0:00,2025/5/19 0:00,,2025/5/19 0:00,2025/5/14 0:00,,外注加工,福研工販㈱,2,2,0,0,2,,,部品
302124,3804-00,3804-00,B,#400,,XAL607-0414,,ｾﾝｻｰﾚｰﾙｽﾃｰ,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/12 0:00,,外注加工,㈱泉工業所,1,1,0,0,1,,,部品
302125,3804-00,3804-00,B,#400,,XAL607-0422,,移動端金具,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/12 0:00,,外注加工,㈱泉工業所,1,1,0,0,1,,,部品
302126,3804-00,3804-00,B,#400,,XAL607-0430A,,ｸﾞﾘｽｶﾊﾞｰ,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/12 0:00,,外注加工,㈱泉工業所,2,2,0,0,2,,,部品
302127,3804-00,3804-00,B,#400,,XAL607-0442,,取付ｱﾝｸﾞﾙ,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/12 0:00,,外注加工,㈱泉工業所,1,1,0,0,1,,,部品
302128,3804-00,3804-00,B,#500,,XAL607-0414,,ｾﾝｻｰﾚｰﾙｽﾃｰ,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/12 0:00,,外注加工,㈱泉工業所,1,1,0,0,1,,,部品
302129,3804-00,3804-00,B,#500,,XAL607-0516,,移動端金具,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/12 0:00,,外注加工,㈱泉工業所,1,1,0,0,1,,,部品
302130,3804-00,3804-00,B,#500,,XAL607-0520D,,吸着ﾌﾟﾚｰﾄ,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/12 0:00,,外注加工,㈱泉工業所,1,1,0,0,1,,,部品
302131,3804-00,3804-00,B,#500,,XAL607-0527,,ｸﾞﾘｽｶﾊﾞｰ,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/12 0:00,,外注加工,㈱泉工業所,2,2,0,0,2,,,部品
302132,3804-00,3804-00,B,#600,,XAL607-0617,,ｸﾞﾘｽｶﾊﾞｰ,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/12 0:00,,外注加工,㈱泉工業所,2,2,0,0,2,,,部品
302133,3804-00,3804-00,B,#600,,XAL607-0630A,,移動端金具,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/12 0:00,,外注加工,㈱泉工業所,1,1,0,0,1,,,部品
302134,3804-00,3804-00,B,#600,,XAL607-0632B,,固定端金具,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/12 0:00,,外注加工,㈱泉工業所,1,1,0,0,1,,,部品
302135,3804-00,3804-00,B,#600,,XAL607-0639A,,ｶﾞｲﾄﾞ受,,2025/3/17 0:00,2025/5/13 0:00,,2025/5/13 0:00,2025/5/12 0:00,,外注加工,㈱泉工業所,3,3,0,0,3,,,部品
302136,3804-00,3804-00,B,#600,,XAL607-0612A,,ﾛﾎﾞｼﾘｽﾃｰ,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,,外注加工,㈱ｼﾓﾉ,1,1,0,0,1,,,部品
302137,3804-00,3804-00,B,#600,,XAL607-0613,,ｶﾞｲﾄﾞﾌﾟﾚｰﾄ,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,,外注加工,㈱ｼﾓﾉ,1,1,0,0,1,,,部品
302138,3804-00,3804-00,B,#600,,XAL607-0614,,ｶﾞｲﾄﾞﾌﾟﾚｰﾄ,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,,外注加工,㈱ｼﾓﾉ,1,1,0,0,1,,,部品
302139,3804-00,3804-00,B,#100,,XAL607-0141A,,ｽﾃｰｼﾞｶﾊﾞｰ1,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302140,3804-00,3804-00,B,#100,,XAL607-0142A,,ｽﾃｰｼﾞｶﾊﾞｰ2,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302141,3804-00,3804-00,B,#200,,XAL607-0228,,ｺﾝﾍﾞｱﾌﾚｰﾑ7,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302142,3804-00,3804-00,B,#200,,XAL607-0229,,ｺﾝﾍﾞｱﾌﾚｰﾑ8,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302143,3804-00,3804-00,B,#500,,XAL607-0515,,ｽﾍﾟｰｻ,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,4,4,0,0,4,,,部品
302144,3804-00,3804-00,B,#500,,XAL607-0519A,,ﾏｸﾞﾈｯﾄﾍﾞｰｽ,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302145,3804-00,3804-00,B,#600,,XAL607-0535A,,垂れｾﾝｻｰｽﾃｰR,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302146,3804-00,3804-00,B,#600,,XAL607-0536A,,垂れｾﾝｻｰｽﾃｰL,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302147,3804-00,3804-00,B,#600,,XAL607-0537,,反射板ｽﾃｰR,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302148,3804-00,3804-00,B,#600,,XAL607-0538,,反射板ｽﾃｰL,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302149,3804-00,3804-00,B,#600,,XAL607-0539,,反射板ｱﾀﾞﾌﾟﾀ,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,2,2,0,0,2,,,部品
302150,3804-00,3804-00,B,#600,,XAL607-0611,,ﾛﾎﾞｼﾘｽﾃｰ,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302153,3804-00,3804-00,B,#600,,XAL607-0627,,ﾓｰﾀBKT,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302154,3804-00,3804-00,B,#700,,XAL607-0710,,ﾛﾎﾞｼﾘｽﾃｰ,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302155,3804-00,3804-00,B,#700,,XAL607-0711A,,ﾛﾎﾞｼﾘｽﾃｰ,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,1,1,0,0,1,,,部品
302158,3804-00,3804-00,B,#700,,XAL607-0722,,ｽﾍﾟｰｻ,,2025/3/17 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱武村鉄工所,2,2,0,0,2,,,部品
302159,3804-00,3804-00,B,#100,,XAL607-0128,,ｾﾝｻ板,,2025/3/17 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,,外注加工,㈱ﾚ-ｻﾞﾏｯｸｽ,2,2,0,0,2,,,部品
302160,3804-00,3804-00,B,#300,,XAL607-0314,,ｽﾍﾟｰｻ,,2025/3/17 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,,外注加工,㈱ﾚ-ｻﾞﾏｯｸｽ,1,1,0,0,1,,,部品
302161,3804-00,3804-00,B,#400,,XAL607-0420,,ﾄﾞｸﾞ,,2025/3/17 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,,外注加工,㈱ﾚ-ｻﾞﾏｯｸｽ,1,1,0,0,1,,,部品
302162,3804-00,3804-00,B,#500,,XAL607-0420,,ﾄﾞｸﾞ,,2025/3/17 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,,外注加工,㈱ﾚ-ｻﾞﾏｯｸｽ,1,1,0,0,1,,,部品
302163,3804-00,3804-00,B,#600,,XAL607-0610,,ﾄﾞｸﾞ,,2025/3/17 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,,外注加工,㈱ﾚ-ｻﾞﾏｯｸｽ,1,1,0,0,1,,,部品
302164,3804-00,3804-00,B,#700,,XAL607-0610,,ﾄﾞｸﾞ,,2025/3/17 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,2025/5/15 0:00,,外注加工,㈱ﾚ-ｻﾞﾏｯｸｽ,1,1,0,0,1,,,部品
302165,3804-00,3804-00,B,#900,,XAL607-0922,,ｶﾊﾞｰ押え1,,2025/3/17 0:00,2025/5/7 0:00,,2025/5/7 0:00,2025/5/7 0:00,,外注加工,㈱ﾚﾝｺ-,4,4,0,0,4,,,部品
302166,3804-00,3804-00,B,#900,,XAL607-0923,,ｶﾊﾞｰ押え2,,2025/3/17 0:00,2025/5/7 0:00,,2025/5/7 0:00,2025/5/7 0:00,,外注加工,㈱ﾚﾝｺ-,4,4,0,0,4,,,部品
302167,3804-00,3804-00,B,#400,,XAL607-0445,,治具ｶﾞｲﾄﾞ,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,2,2,0,0,2,,,部品
302168,3804-00,3804-00,B,#600,,XAL607-0633A,,ｾﾝﾀｰｶﾊﾞｰ1,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,1,1,0,0,1,,,部品
302169,3804-00,3804-00,B,#600,,XAL607-0642,,ｾﾝﾀｰｶﾊﾞｰ2,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,1,1,0,0,1,,,部品
302170,3804-00,3804-00,B,#600,,XAL607-0643,,ｾﾝﾀｰｶﾊﾞｰ3,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,1,1,0,0,1,,,部品
302171,3804-00,3804-00,B,#900,,XAL607-0911A,,側面ﾏﾄﾞ板,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,2,2,0,0,2,,,部品
302172,3804-00,3804-00,B,#900,,XAL607-0912,,正面ﾏﾄﾞ板,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,1,1,0,0,1,,,部品
302173,3804-00,3804-00,B,#900,,XAL607-0914,,天井ﾏﾄﾞ板,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,1,1,0,0,1,,,部品
302174,3804-00,3804-00,B,#900,,XAL607-0915B,,ﾄﾞｱﾏﾄﾞ板,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,1,1,0,0,1,,,部品
302175,3804-00,3804-00,B,#900,,XAL607-0916,,天井ﾏﾄﾞ板,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,1,1,0,0,1,,,部品
302176,3804-00,3804-00,B,#900,,XAL607-0918A,,正面ｶﾊﾞｰ,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,1,1,0,0,1,,,部品
302177,3804-00,3804-00,B,#900,,XAL607-0924B,,背面ﾄﾞｱﾏﾄﾞ板右,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,1,1,0,0,1,,,部品
302178,3804-00,3804-00,B,#900,,XAL607-0925,,背面ﾄﾞｱﾏﾄﾞ板左,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,1,1,0,0,1,,,部品
302179,3804-00,3804-00,B,#900,,XAL607-0927,,側面ﾏﾄﾞ板2,,2025/3/17 0:00,2025/5/16 0:00,,2025/5/16 0:00,2025/5/13 0:00,,外注加工,㈲日本海企画,1,1,0,0,1,,,部品
302180,3804-00,3804-00,B,#400,,XAL607-0434,,ﾍﾞﾙﾄｶﾊﾞｰ1,,2025/3/17 0:00,2025/5/16 0:00,2025/5/16 0:00,2025/5/16 0:00,2025/5/16 0:00,,外注加工,㈲ｴﾅﾃｯｸ,1,1,0,0,1,,,部品
302181,3804-00,3804-00,B,#400,,XAL607-0435,,ﾍﾞﾙﾄｶﾊﾞｰ2,,2025/3/17 0:00,2025/5/16 0:00,2025/5/16 0:00,2025/5/16 0:00,2025/5/16 0:00,,外注加工,㈲ｴﾅﾃｯｸ,1,1,0,0,1,,,部品
302182,3804-00,3804-00,B,#500,,XAL607-0528,,ﾍﾞﾙﾄｶﾊﾞｰ1,,2025/3/17 0:00,2025/5/16 0:00,2025/5/16 0:00,2025/5/16 0:00,2025/5/16 0:00,,外注加工,㈲ｴﾅﾃｯｸ,1,1,0,0,1,,,部品
302183,3804-00,3804-00,B,#500,,XAL607-0529,,ﾍﾞﾙﾄｶﾊﾞｰ2,,2025/3/17 0:00,2025/5/16 0:00,2025/5/16 0:00,2025/5/16 0:00,2025/5/16 0:00,,外注加工,㈲ｴﾅﾃｯｸ,1,1,0,0,1,,,部品
302184,3804-00,3804-00,B,#600,,XAL607-0629A,,ﾍﾞﾙﾄｶﾊﾞｰ,,2025/3/17 0:00,2025/5/16 0:00,2025/5/16 0:00,2025/5/16 0:00,2025/5/16 0:00,,外注加工,㈲ｴﾅﾃｯｸ,1,1,0,0,1,,,部品
302185,3804-00,3804-00,B,#300,,XAL607-0311A,,ｵｻｴｺﾞﾑ,UNSE5-10,2025/3/17 0:00,2025/5/19 0:00,2025/5/19 0:00,2025/5/19 0:00,2025/4/8 0:00,,外注加工,㈲北日商会,2,2,0,0,2,,,部品
302186,3804-00,3804-00,B,#300,,XAL607-0312A,,ｵｻｴｺﾞﾑ,UNSE5-10,2025/3/17 0:00,2025/5/19 0:00,2025/5/19 0:00,2025/5/19 0:00,2025/4/8 0:00,,外注加工,㈲北日商会,2,2,0,0,2,,,部品
302187,3804-00,3804-00,B,#500,,XAL607-0532C(K-1),,ﾗﾊﾞｰﾏｸﾞﾈｯﾄ,RSN-19,2025/3/17 0:00,2025/5/19 0:00,2025/5/19 0:00,2025/5/19 0:00,2025/4/8 0:00,,外注加工,㈲北日商会,2,2,0,0,2,,,部品
302190,3804-00,3804-00,B,#200,,_XAL607-0232,,ﾋﾝｼﾞﾍﾞｰｽ,HGBTM14-W22-H35,2025/3/17 0:00,2025/4/2 0:00,,2025/4/2 0:00,2025/4/2 0:00,2025/4/2 0:00,購入品手配,㈱ﾐｽﾐ,2,2,0,2,0,,,部品
302191,3804-00,3804-00,B,#400,,_XAL607-0443,,取入ｾｯﾄｶﾗｰ1,SSCDN40,2025/3/17 0:00,2025/4/2 0:00,,2025/4/2 0:00,2025/4/2 0:00,2025/4/2 0:00,購入品手配,㈱ﾐｽﾐ,1,1,0,1,0,,,部品
302192,3804-00,3804-00,B,#400,,_XAL607-0444,,取入ｾｯﾄｶﾗｰ2,SSCDN40,2025/3/17 0:00,2025/4/2 0:00,,2025/4/2 0:00,2025/4/2 0:00,2025/4/2 0:00,購入品手配,㈱ﾐｽﾐ,1,1,0,1,0,,,部品
302193,3804-00,3804-00,B,#400,,XAL607-0415,,ｾﾝｻｰﾚｰﾙ,SENC33H-330-V15-W40-X65-N3.5,2025/3/17 0:00,2025/5/23 0:00,,2025/5/23 0:00,,,購入品手配,㈱ﾐｽﾐ,1,0,1,0,1,,,部品
302194,3804-00,3804-00,B,#500,,XAL607-0415,,ｾﾝｻｰﾚｰﾙ,SENC33H-330-V15-W40-X65-N3.5,2025/3/17 0:00,2025/5/23 0:00,,2025/5/23 0:00,,,購入品手配,㈱ﾐｽﾐ,1,0,1,0,1,,,部品
302199,3804-00,3804-00,B,#600,,XAL607-0616B,,ｼﾞｮｲﾝﾄ,,2025/3/21 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱ｵｶﾀﾞ精機,1,1,0,0,1,,,部品
302200,3804-00,3804-00,B,#600,,XAL607-0624C,,旋回ｱｰﾑ,,2025/3/21 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱ｵｶﾀﾞ精機,2,2,0,0,2,,,部品
302201,3804-00,3804-00,B,#700,,XAL607-0712,,ｼﾞｮｲﾝﾄ,,2025/3/21 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱ｵｶﾀﾞ精機,1,1,0,0,1,,,部品
302202,3804-00,3804-00,B,#700,,XAL607-0713,,ｼﾞｮｲﾝﾄ,,2025/3/21 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/8 0:00,,外注加工,㈱ｵｶﾀﾞ精機,1,1,0,0,1,,,部品
302203,3804-00,3804-00,B,#200,,XAL607-0232,,ﾋﾝｼﾞﾍﾞｰｽ,※購入品支給(HGBTM14-W22-H35),2025/3/18 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/8 0:00,,外注加工,田中精機㈲,2,2,0,0,2,,,部品
302204,3804-00,3804-00,B,#400,,XAL607-0443,,取入ｾｯﾄｶﾗｰ1(追加工),※購入品支給(SSCDN40),2025/3/18 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/4/25 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
302205,3804-00,3804-00,B,#400,,XAL607-0444,,取入ｾｯﾄｶﾗｰ2(追加工),※購入品支給(SSCDN40),2025/3/18 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/4/25 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
302206,3804-00,3804-00,B,#900,,XAL607-0926,,ｴﾘｱｾﾝｻｰｶﾊﾞｰ(追加工),※購入品支給(GL-SA28S),2025/3/18 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/12 0:00,2025/5/19 0:00,,外注加工,田中精機㈲,4,4,0,0,4,,,部品
